iter	Accuracy	Logloss
526	0.8784079144	0.2808461705
527	0.8784079144	0.2806380292
528	0.8785229495	0.2805283606
529	0.8789830898	0.2803281892
530	0.8790981249	0.2801820177
531	0.8790981249	0.2799397116
532	0.87921316	0.2798678464
533	0.8795582653	0.2797409572
534	0.8795582653	0.2796575474
535	0.8794432302	0.2795100905
536	0.8799033705	0.2792501195
537	0.8796733004	0.2791706572
538	0.8795582653	0.2789983525
539	0.8795582653	0.278877638
540	0.8799033705	0.2786094489
541	0.8797883354	0.278478567
542	0.8801334407	0.2783440318
543	0.8802484758	0.2782173827
544	0.880478546	0.2780643085
545	0.880478546	0.2778736944
546	0.8807086161	0.2776431088
547	0.8809386863	0.2774908028
548	0.880593581	0.2772569891
549	0.880478546	0.2771223453
550	0.8808236512	0.2769155097
551	0.8809386863	0.2767130586
552	0.8807086161	0.2766013455
553	0.8808236512	0.2764305535
554	0.8816288968	0.2762452636
555	0.8815138617	0.2760435045
556	0.8816288968	0.2759103161
557	0.8817439319	0.2758019704
558	0.8817439319	0.2756728345
559	0.8817439319	0.2755509321
560	0.8819740021	0.2754115842
561	0.8820890372	0.2752911248
562	0.8810537214	0.2751317518
563	0.8813988266	0.275001066
564	0.8815138617	0.2748782708
565	0.8820890372	0.2747178697
566	0.8819740021	0.2745064413
567	0.8825491775	0.2743004182
568	0.8826642126	0.2742067065
569	0.8827792477	0.2741050564
570	0.8826642126	0.274003115
571	0.8833544231	0.2737942277
572	0.883239388	0.2736834598
573	0.8836995284	0.2735639096
574	0.8838145634	0.273464351
575	0.8838145634	0.2733652746
576	0.8838145634	0.2732778972
577	0.8840446336	0.2731786502
578	0.8841596687	0.2730711064
579	0.8839295985	0.2729549056
580	0.8841596687	0.2727850609
581	0.8841596687	0.2726586077
582	0.8839295985	0.2724941718
583	0.8839295985	0.2723886204
584	0.8840446336	0.2722975633
585	0.8840446336	0.2721637202
586	0.8839295985	0.2720056653
587	0.8838145634	0.2718808139
588	0.8836995284	0.2717951067
589	0.8834694582	0.2717119544
590	0.8840446336	0.2716259748
591	0.8839295985	0.2715407677
592	0.8842747038	0.2713941524
593	0.8841596687	0.2712137384
594	0.8842747038	0.2711361843
595	0.8842747038	0.2709320806
596	0.884504774	0.2707842012
597	0.8840446336	0.2707279306
598	0.8842747038	0.2706466486
599	0.8842747038	0.2704957687
600	0.8842747038	0.2703171185
601	0.8842747038	0.2701973999
602	0.8843897389	0.2700660104
603	0.8848498792	0.2698803876
604	0.8848498792	0.2698061256
605	0.8850799494	0.2696174919
606	0.884619809	0.269432019
607	0.8849649143	0.2691862591
608	0.8848498792	0.2690814881
609	0.8850799494	0.2688860903
610	0.8853100196	0.2687239238
611	0.8851949845	0.2686050432
612	0.8850799494	0.2684929354
613	0.8851949845	0.2683842963
614	0.8855400897	0.2682438184
615	0.8860002301	0.2679738557
616	0.8861152652	0.2678578785
617	0.8861152652	0.2677073335
618	0.8862303002	0.2676200556
619	0.8865754055	0.2675191533
620	0.8866904406	0.2674135713
621	0.8873806511	0.2672202831
622	0.8866904406	0.2670779293
623	0.8871505809	0.2669029218
624	0.8870355458	0.2666950873
625	0.8871505809	0.2665975007
626	0.8873806511	0.2664184176
627	0.8873806511	0.2662088018
628	0.8876107213	0.26609922
629	0.8877257564	0.2659093845
630	0.8877257564	0.2658100641
631	0.8880708616	0.2656039698
632	0.8877257564	0.2655250833
633	0.8879558265	0.2654264205
634	0.8879558265	0.2652938172
635	0.8879558265	0.2651843248
636	0.8880708616	0.2650004274
637	0.8884159669	0.2647527701
638	0.8881858967	0.2646487722
639	0.8884159669	0.2645332766
640	0.8883009318	0.2643180066
641	0.8880708616	0.2641552772
642	0.8884159669	0.2640629144
643	0.8887610721	0.2639636683
644	0.888646037	0.2638300382
645	0.888531002	0.2637138505
646	0.8893362476	0.263543215
647	0.8897963879	0.2634651038
648	0.8897963879	0.2632194898
649	0.8896813528	0.2630958855
650	0.889911423	0.2629991524
651	0.889911423	0.2629274996
652	0.889911423	0.2628072259
653	0.8897963879	0.2626677132
654	0.8896813528	0.2626252385
655	0.8897963879	0.2625279636
656	0.889911423	0.2623906406
657	0.8900264581	0.2621935407
658	0.889911423	0.2620823201
659	0.889911423	0.2619928256
660	0.889911423	0.2618006687
661	0.8900264581	0.2616916616
662	0.8901414932	0.2615411813
663	0.8902565282	0.2613196951
664	0.8907166686	0.2611942314
665	0.8907166686	0.2610413343
666	0.8908317037	0.2609160123
667	0.8909467388	0.2608481339
668	0.8908317037	0.260765476
669	0.8909467388	0.2606624849
670	0.8911768089	0.2605222518
671	0.8911768089	0.2604477552
672	0.8915219142	0.2603255541
673	0.8915219142	0.2601623977
674	0.891291844	0.2599714556
675	0.891291844	0.2598834893
676	0.891291844	0.2597766965
677	0.891291844	0.2596724573
678	0.891291844	0.2595672909
679	0.8914068791	0.2594834782
680	0.8915219142	0.2593996167
681	0.8917519844	0.2592985853
682	0.8917519844	0.2591823213
683	0.8918670194	0.2590809778
684	0.8920970896	0.2589241545
685	0.8920970896	0.2587864293
686	0.8923271598	0.2586776291
687	0.8919820545	0.2584678549
688	0.8918670194	0.2584029012
689	0.8920970896	0.2581576583
690	0.8922121247	0.2579902542
691	0.89255723	0.2577644501
692	0.8935925457	0.2574343972
693	0.8935925457	0.2573169224
694	0.8935925457	0.2571343174
695	0.8938226159	0.2569341539
696	0.893937651	0.2568331082
697	0.8946278615	0.2566269363
698	0.8946278615	0.2564549252
699	0.8949729668	0.256312091
700	0.8948579317	0.2562209921
701	0.8947428966	0.2560384806
